Number	of	detectors	Number	of	monitors	:			
128	2								
Index	Det.	no.	time	reg.	crate	module	posn.	monitor	mon.prescale
1	1000001	1	1	0	0	0	1		
2	1000002	1	1	0	1	0	1		
3	1000003	1	1	0	2	1	1		
4	1000004	1	1	0	3	0	1		
5	1000005	1	1	0	4	0	1		
6	1000006	1	1	0	5	0	1		
7	1000007	1	1	0	6	2	1		
8	1000008	1	1	0	7	0	1		
9	1000009	1	1	1	0	0	1		
10	1000010	1	1	1	1	0	1		
11	1000011	1	1	1	2	0	1		
12	1000012	1	1	1	3	0	1		
13	1000013	1	1	1	4	0	1		
14	1000014	1	1	1	5	0	1		
15	1000015	1	1	1	6	0	1		
16	1000016	1	1	1	7	0	1		
17	1000017	1	1	2	0	0	1		
18	1000018	1	1	2	1	0	1		
19	1000019	1	1	2	2	0	1		
20	1000020	1	1	2	3	0	1		
21	1000021	1	1	2	4	0	1		
22	1000022	1	1	2	5	0	1		
23	1000023	1	1	2	6	0	1		
24	1000024	1	1	2	7	0	1		
25	1000025	1	1	3	0	0	1		
26	1000026	1	1	3	1	0	1		
27	1000027	1	1	3	2	0	1		
28	1000028	1	1	3	3	0	1		
29	1000029	1	1	3	4	0	1		
30	1000030	1	1	3	5	0	1		
31	1000031	1	1	3	6	0	1		
32	1000032	1	1	3	7	0	1		
33	1000033	1	1	4	0	0	1		
34	1000034	1	1	4	1	0	1		
35	1000035	1	1	4	2	0	1		
36	1000036	1	1	4	3	0	1		
37	1000037	1	1	4	4	0	1		
38	1000038	1	1	4	5	0	1		
39	1000039	1	1	4	6	0	1		
40	1000040	1	1	4	7	0	1		
41	1000041	1	1	5	0	0	1		
42	1000042	1	1	5	1	0	1		
43	1000043	1	1	5	2	0	1		
44	1000044	1	1	5	3	0	1		
45	1000045	1	1	5	4	0	1		
46	1000046	1	1	5	5	0	1		
47	1000047	1	1	5	6	0	1		
48	1000048	1	1	5	7	0	1		
49	1000049	1	1	6	0	0	1		
50	1000050	1	1	6	1	0	1		
51	1000051	1	1	6	2	0	1		
52	1000052	1	1	6	3	0	1		
53	1000053	1	1	6	4	0	1		
54	1000054	1	1	6	5	0	1		
55	1000055	1	1	6	6	0	1		
56	1000056	1	1	6	7	0	1		
57	1000057	1	1	7	0	0	1		
58	1000058	1	1	7	1	0	1		
59	1000059	1	1	7	2	0	1		
60	1000060	1	1	7	3	0	1		
61	1000061	1	1	7	4	0	1		
62	1000062	1	1	7	5	0	1		
63	1000063	1	1	7	6	0	1		
64	1000064	1	1	7	7	0	1		
65	1000065	1	2	0	0	0	1		
66	1000066	1	2	0	1	0	1		
67	1000067	1	2	0	2	0	1		
68	1000068	1	2	0	3	0	1		
69	1000069	1	2	0	4	0	1		
70	1000070	1	2	0	5	0	1		
71	1000071	1	2	0	6	0	1		
72	1000072	1	2	0	7	0	1		
73	1000073	1	2	1	0	0	1		
74	1000074	1	2	1	1	0	1		
75	1000075	1	2	1	2	0	1		
76	1000076	1	2	1	3	0	1		
77	1000077	1	2	1	4	0	1		
78	1000078	1	2	1	5	0	1		
79	1000079	1	2	1	6	0	1		
80	1000080	1	2	1	7	0	1		
81	1000081	1	2	2	0	0	1		
82	1000082	1	2	2	1	0	1		
83	1000083	1	2	2	2	0	1		
84	1000084	1	2	2	3	0	1		
85	1000085	1	2	2	4	0	1		
86	1000086	1	2	2	5	0	1		
87	1000087	1	2	2	6	0	1		
88	1000088	1	2	2	7	0	1		
89	1000089	1	2	3	0	0	1		
90	1000090	1	2	3	1	0	1		
91	1000091	1	2	3	2	0	1		
92	1000092	1	2	3	3	0	1		
93	1000093	1	2	3	4	0	1		
94	1000094	1	2	3	5	0	1		
95	1000095	1	2	3	6	0	1		
96	1000096	1	2	3	7	0	1		
97	1000097	1	2	4	0	0	1		
98	1000098	1	2	4	1	0	1		
99	1000099	1	2	4	2	0	1		
100	1000100	1	2	4	3	0	1		
101	1000101	1	2	4	4	0	1		
102	1000102	1	2	4	5	0	1		
103	1000103	1	2	4	6	0	1		
104	1000104	1	2	4	7	0	1		
105	1000105	1	2	5	0	0	1		
106	1000106	1	2	5	1	0	1		
107	1000107	1	2	5	2	0	1		
108	1000108	1	2	5	3	0	1		
109	1000109	1	2	5	4	0	1		
110	1000110	1	2	5	5	0	1		
111	1000111	1	2	5	6	0	1		
112	1000112	1	2	5	7	0	1		
113	1000113	1	2	6	0	0	1		
114	1000114	1	2	6	1	0	1		
115	1000115	1	2	6	2	0	1		
116	1000116	1	2	6	3	0	1		
117	1000117	1	2	6	4	0	1		
118	1000118	1	2	6	5	0	1		
119	1000119	1	2	6	6	0	1		
120	1000120	1	2	6	7	0	1		
121	1000121	1	2	7	0	0	1		
122	1000122	1	2	7	1	0	1		
123	1000123	1	2	7	2	0	1		
124	1000124	1	2	7	3	0	1		
125	1000125	1	2	7	4	0	1		
126	1000126	1	2	7	5	0	1		
127	1000127	1	2	7	6	0	1		
128	1000128	1	2	7	7	0	1		
