NDET :
     32
DETECTOR      SPECTRUM
   1000001         1
   1000002         2
   1000003         3
   1000004         4
   1000005         5
   1000006         6
   1000007         7
   1000008         8
   1000009         9
   1000010         10
   1000011         11
   1000012         12
   1000013         13
   1000014         14
   1000015         15
   1000016         16
   1000017         17
   1000018         18
   1000019         19
   1000020         20
   1000021         21
   1000022         22
   1000023         23
   1000024         24
   1000025         25
   1000026         26
   1000027         27
   1000028         28
   1000029         29
   1000030         30
   1000031         31
   1000032         32
