  Number of detectors           Number of monitors :
        32         0
  Index       Det. no.    time reg.  crate    module    posn.  monitor  mon.prescale
        1      1000001        1        1        0        0        0        1
        2      1000002        1        1        0        1        0        1
        3      1000003        1        1        0        2        0        1
        4      1000004        1        1        0        3        0        1
        5      1000005        1        1        0        4        0        1
        6      1000006        1        1        0        5        0        1
        7      1000007        1        1        0        6        0        1
        8      1000008        1        1        0        7        0        1
        9      1000009        1        1        2        0        0        1
       10      1000010        1        1        2        1        0        1
       11      1000011        1        1        2        2        0        1
       12      1000012        1        1        2        3        0        1
       13      1000013        1        1        2        4        0        1
       14      1000014        1        1        2        5        0        1
       15      1000015        1        1        2        6        0        1
       16      1000016        1        1        2        7        0        1
       17      1000017        1        1        4        0        0        1
       18      1000018        1        1        4        1        0        1
       19      1000019        1        1        4        2        0        1
       20      1000020        1        1        4        3        0        1
       21      1000021        1        1        4        4        0        1
       22      1000022        1        1        4        5        0        1
       23      1000023        1        1        4        6        0        1
       24      1000024        1        1        4        7        0        1
       25      1000025        1        1        6        0        0        1
       26      1000026        1        1        6        1        0        1
       27      1000027        1        1        6        2        0        1
       28      1000028        1        1        6        3        0        1
       29      1000029        1        1        6        4        0        1
       30      1000030        1        1        6        5        0        1
       31      1000031        1        1        6        6        0        1
       32      1000032        1        1        6        7        0        1
